ObjectId,ObjectType,City,CompanyName,Country,Department,DisplayName,FacsimileTelephoneNumber,GivenName,JobTitle,Mail,MailNickName,Mobile,Password,PhysicalDeliveryOfficeName,PostalCode,PreferredLanguage,SipProxyAddress,State,StreetAddress,Surname,TelephoneNumber,UsageLocation,UserPrincipalName,RemoveLicense,AddLicense
68a56455-f248-4aff-b8ac-4d393310a8b5,User,San Diego,SkytapMarketingDemo,United States,Marketing,Alex Wilber,,Alex,Marketing Assistant,AlexW@SkytapMarketingDemo.OnMicrosoft.com,AlexW,+1 425 555 0100,MTPr0cks!,131/1104,92121,en-US,AlexW@SkytapMarketingDemo.OnMicrosoft.com,CA,"9256 Towne Center Dr., Suite 400",Wilber,+1 858 555 0110,US,AlexW@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
47c9812b-457e-4e4f-8a5e-0cbb4a57dc1a,User,Waukesha,SkytapMarketingDemo,United States,IT,Allan Deyoung,,Allan,IT Admin,AllanD@SkytapMarketingDemo.OnMicrosoft.com,AllanD,+1 425 555 0100,MTPr0cks!,24/1106,53188,en-US,AllanD@SkytapMarketingDemo.OnMicrosoft.com,WI,"N19 W24133 Riverwood Dr., Suite 150",Deyoung,+1 262 555 0106,US,AllanD@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
38f54639-3950-422c-aa2d-9c857c8776f8,User,San Diego,SkytapMarketingDemo,United States,Sales,Christie Cline,,Christie,Buyer,ChristieC@SkytapMarketingDemo.OnMicrosoft.com,ChristieC,+1 425 555 0100,MTPr0cks!,131/2105,92121,en-US,ChristieC@SkytapMarketingDemo.OnMicrosoft.com,CA,"9257 Towne Center Dr., Suite 400",Cline,+1 858 555 0111,US,ChristieC@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
100f256b-2d80-4a8c-9927-48e2a5dd9191,User,Bellevue,SkytapMarketingDemo,United States,Executive Management,Debra Berger,,Debra,Administrative Assistant,DebraB@SkytapMarketingDemo.OnMicrosoft.com,DebraB,+1 425 555 0100,MTPr0cks!,18/2107,98004,en-US,DebraB@SkytapMarketingDemo.OnMicrosoft.com,WA,"205 108th Ave. NE, Suite 400",Berger,+1 425 555 0105,US,DebraB@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
4a6e9f3c-4fed-48e7-8363-e4fd00e17a04,User,Birmingham,SkytapMarketingDemo,United States,HR,Diego Siciliani,,Diego,HR Manager,DiegoS@SkytapMarketingDemo.OnMicrosoft.com,DiegoS,+1 425 555 0100,MTPr0cks!,14/1108,35243,en-US,DiegoS@SkytapMarketingDemo.OnMicrosoft.com,AL,3535 Gradview Parkway Suite 335,Siciliani,+1 205 555 0108,US,DiegoS@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
a64ca28c-819e-479b-a796-9dbf9e580b98,User,Tokyo,SkytapMarketingDemo,Japan,Finance,Emily Braun,,Emily,Budget Analyst,EmilyB@SkytapMarketingDemo.OnMicrosoft.com,EmilyB,+1 425 555 0100,MTPr0cks!,97/2302,108-0080,en-US,EmilyB@SkytapMarketingDemo.OnMicrosoft.com,,"Shinagawa Grand Central Tower, 2-16-3, Konan Minato-ku",Braun,+81 345550115,US,EmilyB@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
ad668a4c-d779-47ce-8db5-01fece3adf39,User,Birmingham,SkytapMarketingDemo,United States,Legal,Enrico Cattaneo,,Enrico,Attorney,EnricoC@SkytapMarketingDemo.OnMicrosoft.com,EnricoC,+1 425 555 0100,MTPr0cks!,14/1102,35243,en-US,EnricoC@SkytapMarketingDemo.OnMicrosoft.com,AL,3535 Gradview Parkway Suite 335,Cattaneo,+1 205 555 0103,US,EnricoC@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
90aef11a-1287-4261-b73f-c8b22eaae81b,User,Bloomington,SkytapMarketingDemo,United States,R&D,Grady Archie,,Grady,Designer,GradyA@SkytapMarketingDemo.OnMicrosoft.com,GradyA,+1 425 555 0100,MTPr0cks!,19/2109,61704,en-US,GradyA@SkytapMarketingDemo.OnMicrosoft.com,IL,"2203 E. Empire St., Suite J",Archie,+1 309 555 0104,US,GradyA@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
d0f3ec2a-8c85-4d24-81e8-78c4cb603c3e,User,Fort Lauderdale,SkytapMarketingDemo,United States,R&D,Henrietta Mueller,,Henrietta,Developer,HenriettaM@SkytapMarketingDemo.OnMicrosoft.com,HenriettaM,+1 425 555 0100,MTPr0cks!,18/1106,33309,en-US,HenriettaM@SkytapMarketingDemo.OnMicrosoft.com,FL,"6750 North Andrews Ave., Suite 400",Mueller,+1 954 555 0118,US,HenriettaM@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
d49bcdf6-e5d1-4f97-9d18-3bde6852459d,User,Bloomington,SkytapMarketingDemo,United States,R&D,Irvin Sayers,,Irvin,Project Manager,IrvinS@SkytapMarketingDemo.OnMicrosoft.com,IrvinS,+1 425 555 0100,MTPr0cks!,19/2106,61704,en-US,IrvinS@SkytapMarketingDemo.OnMicrosoft.com,IL,"2203 E. Empire St., Suite J",Sayers,+1 309 555 0101,US,IrvinS@SkytapMarketingDemo.OnMicrosoft.com,,EMS+E5
